,citations,pet_resp,us_cite
0,"[u'492 U.S. 302', u'532 U.S. 782', u'492 U.S. 302', u'532 U.S. 782', u'506 U.S. 461', u'506 U.S. 461', u'532 U.S. 782', u'492 U.S. 302', u'479 U.S. 538', u'455 U.S. 104', u'487 U.S. 164', u'124 U.S. 28']",1,542 U.S. 274
1,"[u'413 U.S. 266', u'532 U.S. 318', u'116 U.S. 616', u'267 U.S. 132', u'397 U.S. 72', u'440 U.S. 648', u'460 U.S. 491', u'357 U.S. 493', u'335 U.S. 451', u'439 U.S. 128', u'453 U.S. 420', u'53 U.S. 139', u'506 U.S. 56', u'422 U.S. 873', u'466 U.S. 109', u'342 U.S. 48', u'428 U.S. 543', u'473 U.S. 531', u'422 U.S. 891', u'431 U.S. 606', u'456 U.S. 798', u'462 U.S. 579', u'515 U.S. 646', u'474 U.S. 481', u'526 U.S. 295', u'473 U.S. 531', u'413 U.S. 266', u'267 U.S. 132', u'116 U.S. 616', u'431 U.S. 606', u'440 U.S. 648', u'422 U.S. 873', u'506 U.S. 56', u'436 U.S. 307', u'335 U.S. 451', u'473 U.S. 531', u'431 U.S. 606', u'474 U.S. 481', u'53 U.S. 139', u'456 U.S. 798', u'422 U.S. 891', u'342 U.S. 48', u'439 U.S. 128', u'460 U.S. 491', u'532 U.S. 318', u'514 U.S. 927', u'462 U.S. 579', u'526 U.S. 295', u'515 U.S. 646', u'397 U.S. 72', u'466 U.S. 109', u'453 U.S. 420', u'456 U.S. 798', u'462 U.S. 696', u'428 U.S. 543', u'357 U.S. 493']",0,541 U.S. 149
2,"[u'425 U.S. 682', u'488 U.S. 428', u'473 U.S. 234', u'376 U.S. 398', u'531 U.S. 1081', u'353 U.S. 138', u'271 U.S. 562', u'487 U.S. 1219', u'303 U.S. 68', u'491 U.S. 223', u'524 U.S. 498', u'264 U.S. 90', u'520 U.S. 939', u'533 U.S. 289', u'404 U.S. 985', u'480 U.S. 917', u'529 U.S. 694', u'511 U.S. 244', u'521 U.S. 320', u'527 U.S. 343', u'372 U.S. 10', u'348 U.S. 356', u'246 U.S. 297', u'314 U.S. 627', u'324 U.S. 30', u'318 U.S. 578', u'246 U.S. 304', u'299 U.S. 468', u'168 U.S. 250', u'461 U.S. 480', u'381 U.S. 394', u'482 U.S. 906', u'511 U.S. 244', u'488 U.S. 428', u'271 U.S. 562', u'318 U.S. 578', u'314 U.S. 627', u'264 U.S. 90', u'303 U.S. 68', u'324 U.S. 30', u'425 U.S. 682', u'404 U.S. 985', u'381 U.S. 394', u'168 U.S. 250', u'246 U.S. 297', u'348 U.S. 356', u'246 U.S. 304', u'299 U.S. 468', u'376 U.S. 398', u'511 U.S. 244', u'533 U.S. 289', u'521 U.S. 320', u'524 U.S. 498', u'480 U.S. 917', u'527 U.S. 343', u'529 U.S. 694', u'520 U.S. 939', u'482 U.S. 906', u'372 U.S. 10', u'353 U.S. 138', u'491 U.S. 223', u'473 U.S. 234']",1,541 U.S. 677
3,"[u'425 U.S. 682', u'257 U.S. 184', u'436 U.S. 604', u'488 U.S. 428', u'271 U.S. 562', u'538 U.S. 254', u'430 U.S. 99', u'143 U.S. 457', u'508 U.S. 152', u'303 U.S. 68', u'406 U.S. 759', u'516 U.S. 869', u'509 U.S. 86', u'520 U.S. 939', u'480 U.S. 917', u'511 U.S. 244', u'521 U.S. 320', u'348 U.S. 356', u'246 U.S. 297', u'465 U.S. 89', u'491 U.S. 440', u'324 U.S. 30', u'318 U.S. 578', u'511 U.S. 298', u'507 U.S. 349', u'243 U.S. 124', u'362 U.S. 602', u'503 U.S. 30', u'516 U.S. 489', u'461 U.S. 480', u'381 U.S. 394', u'511 U.S. 244', u'511 U.S. 298', u'509 U.S. 86', u'271 U.S. 562', u'318 U.S. 578', u'381 U.S. 394', u'303 U.S. 68', u'324 U.S. 30', u'348 U.S. 356', u'425 U.S. 682', u'520 U.S. 939', u'461 U.S. 480', u'243 U.S. 124', u'516 U.S. 869', u'465 U.S. 89', u'436 U.S. 604', u'362 U.S. 602', u'430 U.S. 99', u'521 U.S. 320', u'209 U.S. 123', u'257 U.S. 184', u'480 U.S. 917', u'538 U.S. 254', u'488 U.S. 428', u'507 U.S. 349', u'503 U.S. 30', u'508 U.S. 152', u'491 U.S. 440', u'143 U.S. 457', u'516 U.S. 489', u'246 U.S. 297', u'406 U.S. 759']",1,541 U.S. 677
4,"[u'425 U.S. 682', u'436 U.S. 604', u'488 U.S. 428', u'376 U.S. 398', u'271 U.S. 562', u'416 U.S. 696', u'343 U.S. 112', u'303 U.S. 68', u'524 U.S. 498', u'318 U.S. 578', u'462 U.S. 611', u'509 U.S. 86', u'520 U.S. 939', u'533 U.S. 289', u'256 U.S. 616', u'254 U.S. 522', u'501 U.S. 529', u'494 U.S. 827', u'508 U.S. 200', u'511 U.S. 244', u'521 U.S. 320', u'527 U.S. 343', u'348 U.S. 356', u'95 U.S. 714', u'506 U.S. 80', u'504 U.S. 607', u'324 U.S. 30', u'433 U.S. 186', u'264 U.S. 90', u'175 U.S. 677', u'362 U.S. 602', u'461 U.S. 480', u'525 U.S. 249', u'533 U.S. 289', u'511 U.S. 244', u'506 U.S. 80', u'527 U.S. 343', u'521 U.S. 320', u'520 U.S. 939', u'509 U.S. 86', u'501 U.S. 529', u'524 U.S. 498', u'436 U.S. 604', u'362 U.S. 602', u'174 U.S. 445', u'494 U.S. 827', u'416 U.S. 696', u'488 U.S. 428', u'461 U.S. 480', u'271 U.S. 562', u'425 U.S. 682', u'324 U.S. 30', u'303 U.S. 68', u'324 U.S. 30', u'326 U.S. 310', u'433 U.S. 186', u'95 U.S. 714', u'504 U.S. 607', u'462 U.S. 611', u'508 U.S. 200', u'461 U.S. 480', u'254 U.S. 522', u'256 U.S. 616', u'264 U.S. 90', u'318 U.S. 578', u'461 U.S. 480', u'348 U.S. 356', u'362 U.S. 602', u'343 U.S. 112', u'175 U.S. 677', u'376 U.S. 398']",0,541 U.S. 677
5,"[u'492 U.S. 302', u'536 U.S. 304', u'536 U.S. 304', u'438 U.S. 637', u'494 U.S. 370', u'522 U.S. 269', u'479 U.S. 538', u'463 U.S. 992', u'455 U.S. 104', u'487 U.S. 164', u'408 U.S. 238', u'481 U.S. 393', u'509 U.S. 350', u'438 U.S. 586', u'494 U.S. 433', u'537 U.S. 322', u'486 U.S. 367', u'469 U.S. 325', u'501 U.S. 808', u'532 U.S. 782', u'492 U.S. 302', u'476 U.S. 1', u'490 U.S. 805', u'537 U.S. 802', u'476 U.S. 28', u'528 U.S. 225', u'529 U.S. 362', u'428 U.S. 280', u'537 U.S. 802', u'501 U.S. 1259', u'537 U.S. 802', u'536 U.S. 304', u'537 U.S. 802', u'492 U.S. 302', u'492 U.S. 302', u'529 U.S. 362', u'536 U.S. 304', u'509 U.S. 350', u'487 U.S. 164', u'509 U.S. 350', u'537 U.S. 802', u'532 U.S. 782', u'479 U.S. 538', u'428 U.S. 280', u'438 U.S. 637', u'455 U.S. 104', u'494 U.S. 433', u'481 U.S. 393', u'438 U.S. 586', u'486 U.S. 367', u'455 U.S. 104', u'494 U.S. 433', u'408 U.S. 238', u'469 U.S. 325', u'529 U.S. 362', u'479 U.S. 538', u'501 U.S. 808', u'490 U.S. 805', u'476 U.S. 1', u'455 U.S. 104', u'494 U.S. 370', u'522 U.S. 269', u'528 U.S. 225', u'476 U.S. 28', u'463 U.S. 992', u'536 U.S. 304', u'537 U.S. 322', u'529 U.S. 473']",1,542 U.S. 274
6,"[u'492 U.S. 302', u'509 U.S. 350', u'532 U.S. 782', u'536 U.S. 304', u'494 U.S. 370', u'455 U.S. 104', u'487 U.S. 164', u'509 U.S. 350', u'428 U.S. 262', u'438 U.S. 586', u'494 U.S. 433', u'532 U.S. 782', u'492 U.S. 302', u'494 U.S. 484', u'489 U.S. 288', u'537 U.S. 802', u'481 U.S. 739', u'492 U.S. 302', u'509 U.S. 350', u'532 U.S. 782', u'492 U.S. 302', u'487 U.S. 164', u'492 U.S. 302', u'509 U.S. 350', u'532 U.S. 782', u'428 U.S. 262', u'481 U.S. 739', u'487 U.S. 164', u'509 U.S. 350', u'494 U.S. 484', u'438 U.S. 586', u'494 U.S. 370', u'489 U.S. 288', u'536 U.S. 304']",1,542 U.S. 274
7,"[u'492 U.S. 302', u'536 U.S. 304', u'513 U.S. 1114', u'536 U.S. 304', u'463 U.S. 880', u'369 U.S. 541', u'438 U.S. 637', u'482 U.S. 496', u'501 U.S. 808', u'527 U.S. 1055', u'502 U.S. 971', u'494 U.S. 370', u'494 U.S. 407', u'479 U.S. 538', u'510 U.S. 383', u'455 U.S. 104', u'487 U.S. 164', u'251 U.S. 179', u'514 U.S. 115', u'506 U.S. 461', u'517 U.S. 1227', u'534 U.S. 1043', u'481 U.S. 393', u'536 U.S. 266', u'509 U.S. 350', u'428 U.S. 262', u'513 U.S. 1086', u'438 U.S. 586', u'484 U.S. 231', u'401 U.S. 667', u'494 U.S. 433', u'437 U.S. 322', u'486 U.S. 367', u'501 U.S. 808', u'492 U.S. 302', u'494 U.S. 484', u'476 U.S. 1', u'529 U.S. 473', u'466 U.S. 668', u'489 U.S. 288', u'503 U.S. 562', u'529 U.S. 362', u'537 U.S. 19', u'428 U.S. 280', u'462 U.S. 862', u'492 U.S. 302', u'536 U.S. 304', u'489 U.S. 288', u'506 U.S. 461', u'524 U.S. 956', u'537 U.S. 802', u'529 U.S. 473', u'537 U.S. 322', u'463 U.S. 880', u'529 U.S. 362', u'537 U.S. 19', u'536 U.S. 266', u'428 U.S. 280', u'428 U.S. 262', u'455 U.S. 104', u'438 U.S. 586', u'479 U.S. 538', u'487 U.S. 164', u'476 U.S. 1', u'482 U.S. 496', u'501 U.S. 808', u'462 U.S. 862', u'484 U.S. 231', u'494 U.S. 370', u'494 U.S. 484', u'534 U.S. 1043', u'503 U.S. 562', u'527 U.S. 1055', u'517 U.S. 1227', u'513 U.S. 1114', u'513 U.S. 1086', u'502 U.S. 971', u'438 U.S. 637', u'494 U.S. 433', u'486 U.S. 367', u'481 U.S. 393', u'466 U.S. 668', u'514 U.S. 115', u'510 U.S. 383', u'401 U.S. 667', u'369 U.S. 541', u'251 U.S. 179', u'494 U.S. 407']",0,542 U.S. 274
8,"[u'520 U.S. 953', u'511 U.S. 531', u'503 U.S. 393', u'241 U.S. 485', u'516 U.S. 16', u'417 U.S. 134', u'278 U.S. 245', u'370 U.S. 650', u'525 U.S. 872', u'308 U.S. 180', u'462 U.S. 523', u'508 U.S. 324', u'504 U.S. 753', u'508 U.S. 464', u'520 U.S. 953', u'523 U.S. 1074', u'465 U.S. 1022', u'118 U.S. 507', u'501 U.S. 157', u'484 U.S. 365', u'518 U.S. 213', u'489 U.S. 235', u'462 U.S. 198', u'329 U.S. 156', u'329 U.S. 156', u'520 U.S. 953', u'508 U.S. 464', u'508 U.S. 469', u'465 U.S. 1022', u'523 U.S. 1074', u'520 U.S. 953', u'370 U.S. 650', u'118 U.S. 507', u'484 U.S. 365', u'516 U.S. 16', u'525 U.S. 872', u'308 U.S. 180', u'278 U.S. 245', u'511 U.S. 531', u'504 U.S. 753', u'508 U.S. 324', u'520 U.S. 953', u'489 U.S. 235', u'417 U.S. 134', u'462 U.S. 523', u'241 U.S. 485', u'462 U.S. 198', u'511 U.S. 531', u'501 U.S. 157', u'518 U.S. 213', u'503 U.S. 393', u'484 U.S. 365', u'465 U.S. 1022']",1,541 U.S. 465
9,"[u'520 U.S. 953', u'511 U.S. 531', u'376 U.S. 358', u'440 U.S. 48', u'239 U.S. 57', u'523 U.S. 213', u'417 U.S. 134', u'308 U.S. 488', u'502 U.S. 410', u'297 U.S. 216', u'527 U.S. 308', u'501 U.S. 78', u'479 U.S. 36', u'338 U.S. 1', u'417 U.S. 642', u'364 U.S. 603', u'314 U.S. 564', u'508 U.S. 464', u'464 U.S. 16', u'470 U.S. 409', u'484 U.S. 365', u'411 U.S. 546', u'518 U.S. 213', u'489 U.S. 235', u'462 U.S. 198', u'329 U.S. 156', u'324 U.S. 204', u'520 U.S. 953', u'470 U.S. 409', u'508 U.S. 464', u'390 U.S. 414', u'308 U.S. 488', u'376 U.S. 358', u'314 U.S. 564', u'511 U.S. 531', u'417 U.S. 134', u'338 U.S. 1', u'411 U.S. 546', u'501 U.S. 78', u'462 U.S. 198', u'526 U.S. 434', u'464 U.S. 16', u'484 U.S. 365', u'479 U.S. 36', u'297 U.S. 216', u'329 U.S. 156', u'489 U.S. 235', u'502 U.S. 410', u'318 U.S. 515', u'523 U.S. 213', u'495 U.S. 552', u'518 U.S. 213', u'440 U.S. 48', u'417 U.S. 642', u'324 U.S. 204', u'527 U.S. 308', u'239 U.S. 57']",0,541 U.S. 465
