,case_name,cl_cited_by,cl_id,usCite,usCite_cited_by
14,"Mobil Alaska Pipeline Company v. United States Exxon Pipeline Company v. United States Bp Pipeline, Inc. v. United States Arco Pipe Line Company v. United States","set(['437221', '109880'])",set(['109783']),434 U.S. 949,set(['436 U.S. 631'])
15,United States v. John,"set(['490182', '386088', '376751', '1119007', '158305', '796187', '155865', '185506', '112822', '112241', '863387', '361250', '751159', '201817', '118340', '461609', '196879', '542386', '543201', '561370', '389261', '730888', '476370', '757000', '448204', '2350163', '371940', '373438', '1287808', '153836', '112537', '709769', '605364', '815638', '201443', '1162567', '494711', '397429', '1147658', '361073', '1177990', '531396', '388137', '153143', '385869', '382777', '397374', '109917', '1205752', '902545', '457137', '685175', '2506405', '782838', '740225', '187124', '428331', '202854', '185156', '606111', '538446', '159057', '1649609', '404199', '197341', '358911', '860304', '1191759', '508817', '112439'])",set(['109917']),437 U.S. 634,"set(['498 U.S. 505', '490 U.S. 30', '507 U.S. 99', '495 U.S. 676', '528 U.S. 495', '437 U.S. 634'])"
16,Burrell v. Armijo,"set(['171900', '170988', '169792'])",set(['1860168']),127 S. Ct. 1132,set([])
17,Faulkner v. United States,"set(['', '1029260'])","set(['126495', '126496', '126489', '126488', '126494', '126485', '126497', '126487', '126486', '126492', '126493', '126490', '126491'])",537 U.S. 1133,set([])
18,Moore v. Illinois,"set(['528299', '1188826', '320787', '762253', '1003318', '1089428', '313474', '1061077', '315802', '1003761', '1145366', '756563', '110797', '111702', '109506', '316953', '316951', '444046', '1014433', '402566', '1063070', '355699', '658851', '692054', '397156', '427223', '110476', '1120928', '330645', '598220', '1049306', '339389', '1018342', '556909', '347528', '1177232', '310095', '493227', '315679', '1025316', '320391', '317125', '311429', '1049284', '330246', '112156', '317123', '1769018', '1038175', '334742', '1398019', '393901', '348352', '706021', '774527', '411207', '1048810', '448201', '558592', '330669', '344306', '325557', '783386', '382789', '312321', '390047', '1163291', '320507', '213107', '329211', '1049118', '110425', '110754', '470125', '305745', '437521', '474608', '1023140', '1248901', '355393', '1060515', '475335', '1050132', '2113872', '355372', '77652', '392243', '1049133', '1018144', '389327', '2282709', '307907', '321245', '330049', '1095393', '696242', '340003', '316672', '1013124', '496200', '453243', '337640', '757099', '774742', '580906', '395197', '1480308', '316379', '331616', '687621', '1405181', '702891', '360495', '1104214', '769405', '1466242', '426323', '325310', '447011', '323760', '540132', '856630', '14743', '393804', '1098345', '1134289', '433479', '445633', '451681', '1118876', '757754', '792956', '340113', '153143', '1561776', '834956', '572638', '609227', '377898', '109818', '109360', '408036', '1632262', '372542', '1020454', '409071', '160511', '803077', '117923', '1169155', '1179693', '2403515', '525253', '323862', '585205', '329603', '305618', '2177073', '463304', '324541', '1083979', '439958', '335964', '769771', '370990', '306082', '348386', '337789', '434755', '743311', '370343', '109387', '409626', '110984', '672357', '433826', '377092', '1797864', '402255', '1473849', '463197', '999579', '111614', '584756', '317018', '111206', '111514', '1124360', '875815', '875816', '40588', '1080573', '111334', '442128', '307293', '111446', '348417', '379140', '1202528', '328769', '2501092', '516469', '461422', '462607', '157323', '496473', '334526'])","set(['108613', '2002149'])",408 U.S. 786,"set(['427 U.S. 97', '451 U.S. 493', '476 U.S. 1145', '475 U.S. 412', '471 U.S. 1025', '473 U.S. 667', '458 U.S. 858', '457 U.S. 537', '450 U.S. 261', '424 U.S. 409', '435 U.S. 313', '514 U.S. 419', '469 U.S. 1090', '467 U.S. 479', '423 U.S. 938', '462 U.S. 862', '488 U.S. 51'])"
19,Parks v. Indiana,set(['']),"set(['119911', '119910', '119913', '119912', '119915', '119914', '119917', '119916', '119919', '119918', '119909', '119920', '119921', '119922', '119923'])",535 U.S. 1020,set([])
20,Cutter v. Wilkinson,"set(['220796', '212402', '1034526', '206098', '1034523', '77840', '820408', '1039889', '171131', '866329', '145684', '173598', '145744', '67300', '620673', '145667', '1035404', '813781', '813020', '803556', '867919', '202696', '1040529', '1038566', '70996', '795793', '176522', '65011', '178388', '867297', '820897', '212467', '214782', '1029538', '808968', '205808', '145906', '175607', '796006', '217826', '69405', '150544', '895130', '620896', '145882', '801072', '800364', '2930', '68866', '103', '856946', '145873', '613324', '2672', '186763', '147529', '212522', '65323', '1036380', '65054', '796333', '222036', '1733', '818026', '796536', '214427', '149981', '795229', '809380', '855656', '68684', '793657', '811645', '148870', '931114', '795610', '48983', '1188', '221583', '619406', '146369', '2357', '865587', '215077', '217797', '1021502', '821194', '613928', '220942', '1033551', '985449', '798142', '171011', '1086589', '150349', '1024755', '146980', '53886', '794363', '148895', '820984', '219734', '613717', '145189', '626352', '217555', '61673'])",set(['142900']),544 U.S. 709,"set(['129 S. Ct. 1109', '547 U.S. 183', '127 S. Ct. 1610', '546 U.S. 418'])"
21,Collums v. United States,set(['']),"set(['120018', '120019', '120015', '120014', '120010', '120024', '120012', '120013', '120021', '120020', '120023', '120022', '120016', '120011', '120017', '120009'])",535 U.S. 1027,set([])
22,Tinder v. United States,"set(['', '432051', '241368', '566082', '253908', '232548', '302045', '305341', '105801', '792365', '261150', '105176', '243519', '342426', '118013', '244491', '276999'])","set(['105129', '2394245'])",345 U.S. 565,"set(['358 U.S. 169', '346 U.S. 502', '517 U.S. 292'])"
23,Bowen v. Kendrick,"set(['1034432', '223211', '527901', '8421', '756680', '721330', '1059541', '787656', '560568', '26072', '118133', '740411', '6918', '794313', '2481', '112354', '799993', '797311', '515250', '799990', '597782', '627433', '889931', '528516', '664656', '682048', '773157', '597854', '608919', '213843', '755478', '772214', '214063', '583475', '1208605', '71707', '71704', '796217', '513317', '571452', '776269', '583444', '151679', '796006', '577158', '214467', '186412', '181719', '1068022', '796927', '673431', '1133392', '770312', '763114', '768036', '688705', '769846', '1196385', '1163469', '514190', '511819', '528395', '518859', '663690', '533829', '780325', '766811', '783387', '112887', '787303', '117966', '772931', '661805', '529711', '566386', '529719', '768758', '613381', '792876', '804943', '145704', '771401', '155727', '780604', '15654', '758741', '22969', '776802', '853841', '145658', '745359', '1208107', '512373', '177137', '117967', '697717', '801431', '786966', '628623', '112330', '112331', '73745', '73746', '798142', '73743', '118386', '73748', '672081', '805319', '793917', '118377', '562104', '778880', '621238', '543046', '216067', '749842', '1208621', '117870', '187239', '602426'])",set(['112138']),487 U.S. 589,"set(['521 U.S. 203', '127 S. Ct. 2553', '512 U.S. 687', '530 U.S. 290', '515 U.S. 753', '530 U.S. 793', '493 U.S. 378', '515 U.S. 819', '492 U.S. 573', '547 U.S. 332', '545 U.S. 844', '509 U.S. 1', '545 U.S. 677', '492 U.S. 490'])"
24,"San Francisco Arts & Athletics, Inc. v. United States Olympic Comm.","set(['719808', '1025766', '808107', '712228', '796271', '685605', '112850', '183404', '718736', '747596', '595519', '600301', '771811', '185372', '1196132', '689136', '778294', '153865', '76875', '621623', '753690', '117895', '627339', '778455', '525658', '699552', '521895', '112162', '587682', '534410', '787630', '693378', '773127', '77451', '184623', '769838', '995560', '691393', '781994', '773934', '204255', '699309', '811033', '587692', '200303', '765938', '533839', '610924', '658173', '494214', '5405', '112610', '568538', '789407', '2673', '196780', '803268', '621667', '3801', '707035', '766111', '726158', '762782', '613155', '156242', '861350', '758028', '780697', '771701', '603787', '41293', '854213', '703970', '118012', '766285', '74296', '74295', '112304', '697241', '198712', '528547', '723308', '587224', '580704', '777548', '616001', '714738', '221602', '729773', '118268', '659708', '542294', '787282', '221599', '514835', '184867', '719269', '569313', '659328', '727295', '764843', '122254', '782341', '185356', '575202', '687322', '524053', '112329', '572512', '538440', '532640', '779362', '625579', '754517'])",set(['111950']),483 U.S. 522,"set(['500 U.S. 614', '517 U.S. 186', '491 U.S. 397', '537 U.S. 186', '492 U.S. 469', '513 U.S. 374', '507 U.S. 761', '526 U.S. 40', '488 U.S. 179'])"
25,United States v. Zucca,"set(['243835', '240659', '267608', '245243', '245425', '769599', '270479', '110062', '456319', '242972', '250255', '106173', '106172', '338705', '109827', '240456', '362305', '242923', '490216', '488515', '245437', '247113', '261677', '2409535', '245894', '2468948', '300579', '324998', '797973', '105699', '384927', '290862', '106826', '326991', '251112', '245079', '386107'])",set(['105388']),351 U.S. 91,"set(['377 U.S. 235', '365 U.S. 265', '356 U.S. 660', '435 U.S. 519', '365 U.S. 290', '441 U.S. 281'])"
26,Lopez-Gomez v. United States,"set(['', '613464', '186478', '181765'])","set(['119999', '119998', '119995', '119994', '119997', '119996', '120007', '120006', '120005', '120004', '120003', '120002', '120001', '120000', '120008'])",535 U.S. 1026,set([])
27,Brass v. United States,"set(['', '61235', '165819', '169793', '78595', '40594', '215275', '65422', '42096', '42698'])","set(['141739', '141741', '141749', '141748', '141733', '141734', '141735', '141736', '141737', '141738', '141740', '141743', '141742', '141745', '141744', '141747', '141746'])",543 U.S. 1107,set([])
28,Peguero v. United States,"set(['797263', '118332', '949346', '832282', '56910', '1034089', '763560', '767484', '53807', '840824', '613742', '840826', '840827', '1034369', '839910', '18749', '217652', '1058820', '772372', '840841', '70521', '808602', '199144', '840213', '76065', '899519', '897013', '168794', '831851', '142898', '896708', '769088', '831856', '790473', '33461', '766456', '165699', '843006', '931597', '172526', '812005', '770124', '795715', '1024261', '773981', '840422', '832431', '1194813', '880817', '77776', '897024', '880841', '163851', '765359', '118339', '770875', '198637', '826869', '786003', '771073', '118266', '198748', '1000978', '768316', '792584', '1003610', '793804', '833852', '831163', '1029605', '832918', '1059204', '896701'])",set(['118266']),526 U.S. 23,"set(['544 U.S. 660', '528 U.S. 259', '528 U.S. 470', '526 U.S. 23'])"
29,"American Trucking Assns., Inc. v. United States","set(['449465', '491450', '558965', '268917', '414311', '405929', '352546', '556464', '284477', '1192563', '544686', '258002', '108329', '291581', '108117', '110315', '1157335', '362861', '518807', '1129461', '1736859', '311003', '424852', '106492', '107814', '108283', '366419', '1547262', '272654', '364758', '108766', '729639', '468612', '407794', '333791', '380947', '429478', '431845', '263252', '431848', '105384', '250578', '365578', '118238', '368362', '314204', '107733', '106806', '306020', '317133', '360456', '766698', '1173088', '314908', '2100622', '387911', '109061', '449236', '342521', '107050', '244166', '283594', '242998', '344471', '295023', '302891', '314781', '439950', '274483', '532054', '234702', '265628', '286111', '431044', '106304', '272512', '253772', '231486', '378037', '105510', '261807', '318153', '111201', '107672', '718312', '398805', '423657', '316140', '1774226', '347650', '254304', '540770', '312737', '414032', '392158', '365497', '277230', '109327', '511749', '362772', '306023', '385832', '105818', '445102', '251239', '628244', '269505', '264506', '234647', '367163', '1165249', '428354', '278210', '669631'])",set(['105063']),344 U.S. 298,"set(['371 U.S. 94', '411 U.S. 356', '447 U.S. 667', '390 U.S. 747', '417 U.S. 380', '351 U.S. 49', '423 U.S. 28', '397 U.S. 532', '377 U.S. 33', '524 U.S. 417', '392 U.S. 157', '402 U.S. 183', '393 U.S. 268', '368 U.S. 81', '401 U.S. 402', '381 U.S. 90', '467 U.S. 354', '353 U.S. 436', '358 U.S. 283'])"
30,Swift & Co. v. United States,"set(['', '360141', '462489', '376888', '365986', '416490', '231387', '253127', '239247'])","set(['1632761', '105005'])",343 U.S. 373,set([])
31,"Mitchell v. Robert DeMario Jewelry, Inc.","set(['358288', '109299', '108990', '1368038', '18491', '398865', '460128', '2382818', '155796', '1398172', '411914', '779827', '257544', '260727', '212970', '560407', '198420', '305491', '75705', '386015', '770619', '261974', '331341', '397252', '275540', '108968', '363137', '283081', '575905', '108960', '1135634', '720665', '2498637', '755139', '74529', '511729', '223605', '199493', '403333', '785166', '560409', '330009', '329764', '782113', '2408048', '355443', '341697', '286929', '931121', '766153', '2473214', '371267', '186395', '797707', '397412', '298467', '1454113', '769038', '397883', '437758', '1483988', '768126', '373983', '286780', '407794', '730984', '1159700', '285661', '266674', '110775', '419761', '434959', '501811', '198014', '750599', '112394', '110077', '565101', '10035', '1526448', '466153', '2424441', '107138', '691303', '329701', '149424', '389214', '118471', '1358739', '1024883', '285154', '344778', '687279', '265362', '772191', '339798', '112317', '118082', '433857', '342721', '252618', '167118', '434708', '111008', '405117', '514622', '442785', '349347', '289818', '408117', '683149', '564445', '363894', '110699', '483555', '373879', '792263', '572404', '784789', '358113', '687302', '436096', '474254', '317865', '2470313', '2340392', '710893', '1191646', '564851', '251015', '222933', '256952', '318155', '286967', '145636', '74530', '375609', '428297', '597399', '283767', '1119218', '416590', '675709', '593266', '655326', '369341', '326365', '266720', '527148', '1761053', '532960', '164595', '793917', '769001', '298218', '590285', '106845', '675180', '763094', '342307', '355586', '367165'])",set(['105984']),361 U.S. 288,"set(['415 U.S. 651', '494 U.S. 558', '415 U.S. 1', '456 U.S. 305', '422 U.S. 405', '463 U.S. 582', '492 U.S. 33', '382 U.S. 323', '534 U.S. 204', '441 U.S. 677', '377 U.S. 426', '519 U.S. 337', '458 U.S. 219', '415 U.S. 189'])"
32,Gaither v. United States,"set(['', '212993', '796023', '793500', '201656', '170685', '220614', '203575', '165837', '168652', '813408', '202524', '39274', '795884', '167615', '186791', '40014', '171436'])","set(['141657', '141656', '141655', '141654', '141653', '141659', '141658', '141670', '141668', '141669', '141666', '141667', '141664', '141665', '141662', '141663', '141660', '141661'])",543 U.S. 1102,set([])
33,Yarbor v. United States,"set(['', '210530', '806079', '40593', '43865', '41411', '39716', '48706', '42130', '46235', '41827', '223527', '42212', '43287', '165886', '210365'])","set(['141637', '141652', '141651', '141650', '141639', '141638', '141648', '141649', '141640', '141641', '141642', '141643', '141644', '141645', '141646', '141647'])",543 U.S. 1101,set([])
34,Hardridge v. United States,"set(['', '38105', '42035', '43707', '43176', '164732'])","set(['141622', '141623', '141633', '141621', '141626', '141627', '141624', '141630', '141628', '141629', '141636', '141632', '141635', '141625', '141631', '141634'])",543 U.S. 1100,set([])
