,case_name,cl_cited_by,cl_id,usCite,usCite_cited_by
385,Atlas Roofing Co. v. Occupational Safety and Health Review Comm'n,"set(['692072', '364735', '422236', '185183', '542864', '782984', '185534', '2198871', '768814', '438855', '363099', '429618', '376711', '360980', '357941', '379006', '411906', '394859', '110315', '219617', '1533839', '453456', '425195', '362463', '118291', '470116', '118292', '2297056', '2182852', '351537', '456319', '716741', '370462', '390023', '471860', '669072', '474632', '669076', '702914', '1534461', '499483', '417705', '360905', '387519', '932032', '571131', '381269', '783714', '110771', '445295', '186081', '674663', '691303', '392193', '880413', '111873', '371446', '444387', '503077', '110340', '622473', '376984', '2385951', '110209', '366376', '112317', '416724', '399825', '406482', '112561', '446565', '694395', '554953', '386055', '347068', '439956', '548355', '752143', '394133', '111533', '733330', '382257', '452968', '416873', '458871', '361173', '413120', '719767', '759593', '352281', '384627', '433021', '536508', '886504', '1156663', '603819', '579538', '687252', '608105', '1534624', '111510', '430502', '778675', '9053', '697657', '490928', '358832', '355881', '358973', '2194963', '364786', '602805', '349557', '540378', '71439', '109964', '401065', '1576129', '369239', '1035300', '456201', '376998', '441752', '764402', '674598', '379004', '5757', '859151'])",set(['109625']),430 U.S. 442,"set(['481 U.S. 412', '458 U.S. 50', '448 U.S. 607', '447 U.S. 667', '473 U.S. 568', '474 U.S. 3', '499 U.S. 144', '492 U.S. 33', '445 U.S. 1', '526 U.S. 687', '439 U.S. 322'])"
386,Arizona v. Washington,"set(['1620344', '371773', '627956', '2273912', '202849', '483877', '799611', '1300026', '370951', '358914', '1630881', '1064187', '415605', '111151', '741830', '52391', '593346', '372003', '1119896', '1912741', '398206', '2340410', '705509', '1051910', '216450', '489605', '2518', '670512', '369225', '1109398', '390925', '109895', '1439776', '109893', '534547', '784967', '858477', '748999', '356174', '438863', '1138697', '1469173', '862324', '366578', '196231', '786983', '1102969', '1404079', '1174027', '683603', '184842', '363004', '389264', '1320414', '790466', '1689255', '893552', '550352', '759243', '889083', '773576', '1442184', '755528', '620946', '661544', '378033', '601522', '793909', '222563', '109928', '360474', '579000', '867256', '852265', '688520', '359789', '1041511', '353822', '1294837', '1306084', '1801861', '1067703', '1580391', '801538', '767004', '662085', '598648', '1032735', '531343', '747623', '355980', '172643', '359713', '1455564', '576288', '1064260', '201215', '388773', '573109', '145449', '418025', '382847', '424844', '1309074', '199931', '2499724', '510271', '582626', '531364', '1125165', '1396395', '548388', '110731', '356006', '792599', '1758081', '110540', '2398412', '534250', '782446', '445439', '1386799', '767839', '145859', '397247', '1669939', '892440', '1664829', '1068054', '1049174', '76613', '111207', '395284', '567674', '698368', '553739', '381944', '517591', '550307', '1068208', '2313217', '536599', '989266', '153798', '797258', '859844', '465047', '1652304', '372542', '1499441', '536057', '789400', '515188', '770898', '1198848', '785371', '1375597', '714198', '489772', '390520', '618463', '618462', '618461', '618460', '1195085', '1433976', '1237353', '553354', '665871', '2292539', '2021680', '536698', '852113', '1536799', '70729', '155191', '407796', '112906', '777782', '362375', '63576', '1671290', '436012', '1303135', '734117', '1423685', '371934', '1065178', '1387574', '1173634', '663721', '1358416', '816592', '59621', '426318', '2275043', '382245', '1409698', '769872', '194833', '701794', '1285279', '480422', '381883', '531294', '1171513', '499755', '122251', '787804', '563217', '1305732', '1696835', '389484', '677096', '373891', '525350', '165276', '201855', '413391', '1860429', '767015', '543221', '1230241', '1130110', '2301513', '353963', '515496', '1205024', '454296', '384467', '1546178', '363840', '1360332', '430977', '588486', '863355', '552429', '540402', '382315', '793667', '110590', '618459', '365456', '573443', '752093', '360139', '484040', '1235213', '540841', '1530342', '1376191', '2478678', '1129575', '505834', '397159', '1690294', '482473', '718217', '1433834', '1472601', '783673', '599190', '720712', '1060159', '377874', '580871', '1435101', '363151', '1207268', '392216', '2141454', '433582', '202889', '575246', '576086', '696321', '431704', '786824', '359049', '495456', '746049', '1757658', '433518', '881802', '524099', '373788', '388072', '360851', '442112', '1032004', '442053', '1119024', '553219', '530569', '702309', '657209', '365671', '800858', '200319', '433421', '1763376', '1157371', '357905', '1537266', '454557', '183422', '751570', '1026781', '518096', '409486', '692028', '383022', '212230', '201144', '442187', '1160530', '588571', '183518', '1304817', '386021', '433884', '815143', '177934', '1080809', '384599', '767332', '534351', '655524', '1405979', '745434', '754758', '801794', '1747544', '820353', '419729', '701269', '712187', '718956', '601803', '1764394', '1850440', '58602', '1324608', '775060', '812902', '762775', '426392', '593068', '861094', '813987', '562354', '1670867', '471354', '1759781', '669505', '377154', '853970', '1225431', '1059370', '2324940', '1011133', '439305', '879345', '1200931', '2476382', '362211', '401029', '589680', '1733579', '1163319', '362351', '764176', '1579325', '863205', '848921', '1470246', '1005576', '111246', '800771', '1137902', '610899', '853758', '396309', '1494987', '2020863', '1488759', '571757', '222483', '1173903', '619864', '2499598', '442928', '619860', '619861', '619862', '619863', '2461040', '110714', '739971', '117971', '2366207', '1129806', '1744604', '547638', '570372', '1369667', '392900', '691752', '2020346', '367074', '655824', '1147435', '558272', '1129247', '425155', '1485882', '500372', '1098498', '802171', '409336', '551563', '536183', '110361', '721373', '798094', '1060639', '506192', '504917', '444179', '2291799', '372037', '550360', '798236', '1029450', '1277908', '892149', '573759', '383813', '156562', '669553', '466130', '537255', '1451370', '1302126', '147549', '767408', '765295', '770683', '359883', '1083092', '1159121', '1572117', '465428', '443947', '481376', '1296940', '1203503', '879976', '795762', '2480855', '678825', '531224', '423782', '494671', '1016305', '853754', '204774', '512834', '1822404', '2480083', '352280', '1035384', '587251', '405412', '529280', '1057251', '1119595', '863909', '465395', '173975', '772577', '1427687', '720565', '562679', '1054123', '365970'])",set(['109773']),434 U.S. 497,"set(['437 U.S. 82', '452 U.S. 944', '467 U.S. 493', '438 U.S. 204', '454 U.S. 339', '466 U.S. 294', '456 U.S. 667', '468 U.S. 317', '457 U.S. 31', '449 U.S. 117', '437 U.S. 28', '537 U.S. 101', '509 U.S. 688', '515 U.S. 1301'])"
387,Nachman Corp. v. Pension Benefit Guaranty Corporation,"set(['658188', '406748', '476808', '426338', '134722', '559545', '550729', '791579', '545575', '152918', '390003', '753074', '411390', '586803', '112197', '197995', '430879', '438855', '521022', '681695', '784485', '201785', '763508', '494126', '134750', '529731', '398849', '421651', '111499', '604878', '72061', '571250', '112466', '35634', '512971', '425195', '401085', '443010', '777983', '744147', '537084', '433574', '658850', '1036983', '793947', '791891', '676569', '807920', '110477', '710039', '441965', '572758', '697298', '77699', '701747', '767885', '653701', '710086', '766760', '112867', '112272', '795172', '566360', '479181', '816090', '445620', '797636', '518102', '502305', '469062', '441966', '549755', '6824', '118467', '74583', '593405', '590245', '595533', '200065', '1024405', '557355', '409644', '118039', '472166', '486391', '445295', '433511', '768138', '202873', '758014', '112246', '526976', '780187', '509017', '567643', '739991', '733414', '72869', '118471', '469435', '703904', '170560', '429618', '390881', '526784', '562624', '118008', '855041', '758757', '110363', '750104', '153921', '608800', '7717', '471821', '625501', '719619', '554953', '600763', '709559', '726590', '72058', '386272', '6808', '76251', '413320', '111216', '446588', '1191663', '484717', '710254', '172426', '676097', '77246', '161178', '754634', '458868', '205858', '497030', '429442', '394897', '544631', '465037', '433021', '789888', '568030', '567623', '709018', '384565', '507220', '111482', '118375', '47919', '454271', '112892', '769762', '452968', '449311', '449210', '755144', '449214', '110993', '430502', '118261', '429230', '198140', '11177', '492657', '399278', '780732', '539831', '464661', '474870', '552405', '520971', '505517', '111605', '796825', '771465', '587250', '112754', '418128', '5532', '787647', '855205', '524054', '556518', '526436', '405068', '145833', '520333', '384411', '664124', '170023', '582638', '504941', '111838', '64726', '72868', '750655', '568578', '785431', '563199', '434680', '661526'])",set(['110257']),446 U.S. 359,"set(['472 U.S. 559', '128 S. Ct. 1020', '451 U.S. 504', '517 U.S. 882', '509 U.S. 155', '516 U.S. 489', '490 U.S. 107', '541 U.S. 1', '489 U.S. 101', '490 U.S. 714', '541 U.S. 739', '496 U.S. 633', '463 U.S. 85', '504 U.S. 753', '525 U.S. 432', '534 U.S. 84', '473 U.S. 134', '508 U.S. 248', '449 U.S. 166', '467 U.S. 717', '534 U.S. 204', '480 U.S. 421', '530 U.S. 238', '475 U.S. 211'])"
388,"Food Employees v. Logan Valley Plaza, Inc.","set(['421826', '1168586', '295572', '474105', '298739', '409060', '474181', '288057', '109119', '283547', '489568', '293668', '290354', '311377', '108093', '1175747', '400101', '306436', '108597', '378078', '108592', '108591', '1200806', '1110913', '109862', '108598', '697241', '355171', '288867', '324398', '494132', '186019', '110309', '291368', '306429', '288135', '306072', '1572912', '398209', '1190916', '348663', '1254327', '836284', '110245', '306747', '345721', '311651', '318460', '284919', '339399', '109861', '383004', '788448', '2335474', '343298', '303277', '297875', '166484', '541744', '328797', '474909', '284350', '385954', '302280', '391427', '337577', '548345', '1179423', '287439', '1790844', '107965', '1188493', '285972', '109390', '317874', '320988', '470065', '386216', '300345', '297996', '310842', '294128', '328503', '110292', '311603', '317145', '326041', '186109', '882933', '108798', '299806', '112304', '311043', '319868', '350868', '292660', '299965', '297999', '350866', '380118', '821514', '393254', '287169', '287358', '863429', '288308', '1141772', '480763', '298220', '298424', '1238691', '1192152', '346677', '112684', '766325', '1426831', '331103', '382337', '1135610', '429196', '416443', '2401511', '319063', '295597', '389555'])",set(['107692']),391 U.S. 308,"set(['419 U.S. 215', '407 U.S. 551', '436 U.S. 149', '412 U.S. 94', '436 U.S. 180', '408 U.S. 104', '447 U.S. 455', '395 U.S. 444', '397 U.S. 223', '424 U.S. 507', '446 U.S. 14', '502 U.S. 527', '408 U.S. 92', '491 U.S. 397', '407 U.S. 539', '447 U.S. 74'])"
389,United States v. Addonizio,"set(['1107717', '61457', '367222', '676044', '530776', '390896', '403573', '767392', '412638', '460931', '401091', '2470348', '204351', '451978', '595579', '373693', '538583', '112173', '155417', '999139', '579751', '419929', '73304', '73305', '2316653', '594952', '74793', '457153', '447855', '664417', '455875', '1467272', '2415914', '618366', '388324', '442179', '608664', '153780', '483154', '376885', '368925', '775222', '1015224', '1102898', '793390', '391438', '492685', '602406', '222711', '482173', '422262', '151073', '378201', '1462020', '807717', '220762', '495509', '754141', '582755', '549463', '201483', '557651', '194855', '470061', '566782', '491658', '148484', '2473550', '2484313', '528820', '215763', '368993', '603384', '687140', '694722', '740527', '2155831', '388424', '557662', '581382', '151209', '559723', '525295', '525294', '587726', '110228', '1579480', '555820', '1804987', '478392', '2475877', '787208', '528552', '465020', '536530', '411032', '376726', '376720', '1000277', '477817', '521885', '392794', '611074', '1143733', '1136052', '675187', '755355', '156429', '578217', '858496', '518764', '381002', '475548', '434660', '118205', '404147', '2309360', '577260', '662822', '619430', '461674', '504406', '453224', '1010125', '508208', '610603', '705191', '773416', '218975', '812440', '687606', '743096', '1429711', '74794', '759278', '372791', '371063', '506077', '498048', '501074', '407767', '684581', '395301', '811032', '14442', '542335', '570773', '752437', '477778', '14723', '218017', '1172967', '671304', '549057', '404173', '392743', '2499160', '476482', '444472', '394097', '819865', '523514', '479088', '785288', '580261', '658307', '511645', '550110', '110693', '460960', '745355', '434892', '41224', '476477', '498379', '596997', '368398', '663440', '393256', '477958', '1169263', '30430', '2173763', '441629', '880852', '764399', '556094', '194837', '565705', '395187', '442120', '464264', '573185', '1557759', '794042', '372615', '1791862', '592826', '758710', '1005064', '752440', '711037', '795067', '518277', '369281', '518271', '660270', '456003', '668617', '76006', '485326', '418789', '718324', '492375', '453453', '500747', '479824', '765516', '684137', '390952', '1106565', '1704799', '1087955', '1211698', '478196', '391397', '487967', '589248', '740183', '516419', '472640', '889831', '2176677', '419760', '525852', '528848', '485561', '426264', '177741', '696757', '704029', '196022', '805197', '705687', '505765', '712826', '592887', '583229', '153000', '690848', '509026', '593165', '747245', '784125', '550928', '506119', '515463', '154519', '607714', '1770163', '786919', '523258', '693945', '31533', '732128', '391847', '76559', '503343', '1440406', '421188', '749352', '458267', '74352', '74351', '367208', '570794', '156875', '450770', '656986', '49143', '627746', '1011097', '45317', '504240', '381025', '765359', '394034', '393338', '784255', '459033', '603306', '611976', '733596', '446643', '543834', '519160', '414476', '1643148', '487448', '443032', '588822', '526539', '767998', '405084', '994246', '398825', '112845', '517174', '1542372', '399525', '400981', '117860', '705953', '568880', '527615', '399485', '745108', '559413', '175900', '370414', '780083', '584145', '677466', '548795', '742600', '539841', '394165', '367009', '508177', '110662', '2376202', '145466', '399939', '439231', '734780', '588171', '196324', '206233', '438874', '438878', '514379', '508380', '366569', '891097', '516424', '582343', '710271', '730610', '563828', '676065', '12731', '494139', '555478', '182104', '593056', '62353', '740513', '559073', '744070', '752145', '1508047', '548191', '216980', '797471', '722010', '382310', '667204', '672063', '548800', '2499362', '76337', '579063', '487616', '507023', '549074', '498774', '659541', '147766', '1160851', '212221', '1033491', '467044', '619944', '588540', '498483', '571916', '769182', '195690', '707906', '991173', '806108', '387141', '523256', '618087', '1152626', '386860', '221440', '857149', '770458', '703597', '568369', '768977', '451780'])",set(['110094']),442 U.S. 178,"set(['455 U.S. 509', '445 U.S. 388', '512 U.S. 339', '488 U.S. 361', '507 U.S. 619', '456 U.S. 152', '511 U.S. 485', '523 U.S. 614'])"
390,United States v. District Court for Eagle County,"set(['108294', '1118319', '1177960', '446615', '324051', '1161875', '2454258', '199926', '162215', '1135685', '888091', '686535', '111007', '109938', '109405', '1182353', '322179', '1128253', '112851', '109465', '1202672', '336477', '429240', '353221', '368122'])",set(['108293']),401 U.S. 520,"set(['426 U.S. 128', '463 U.S. 545', '424 U.S. 800', '438 U.S. 696', '401 U.S. 527', '508 U.S. 1'])"
391,Killian v. United States,"set(['269063', '276562', '261335', '320126', '280247', '264632', '268312', '283846', '353183', '315818', '326836', '268977', '336383', '276976'])",set(['106310']),368 U.S. 231,set([])
392,United States v. District Court for Water Div. No. 5,"set(['1161875', '2454258', '109938', '785170', '109405', '1177960', '322179', '1135685', '888091', '368122', '686535'])",set(['108294']),401 U.S. 527,"set(['424 U.S. 800', '438 U.S. 696'])"
393,"Furquharsen v. Crosby, Secretary, Florida Department of Corrections",set(['']),"set(['138222', '138223', '138219', '138218', '138226', '138224', '138225', '138213', '138217', '138216', '138215', '138214', '138221', '138220'])",543 U.S. 837,set([])
394,United States v. Turkette,"set(['425977', '112923', '606074', '112511', '449460', '824255', '748430', '824256', '567957', '788340', '520058', '432312', '509536', '112195', '157136', '475424', '741942', '577183', '418131', '471839', '415393', '112605', '214076', '510666', '772017', '656585', '512387', '664902', '766714', '770142', '487793', '409268', '759209', '513665', '678031', '463292', '1200233', '698351', '493318', '1036582', '456386', '455878', '154378', '849104', '430882', '430885', '474531', '570034', '793606', '518952', '1104634', '626814', '583937', '472599', '437284', '652988', '512971', '1000622', '511622', '514219', '110779', '513247', '439326', '474072', '539275', '405917', '450382', '708047', '765472', '463776', '526046', '770085', '503787', '196355', '416525', '848688', '848689', '751221', '110876', '658876', '151635', '783654', '437348', '827252', '767218', '1018794', '174963', '685145', '693893', '482015', '564968', '112310', '794597', '775204', '201181', '111487', '783310', '440383', '453203', '442866', '721367', '712162', '1010769', '694335', '419746', '395237', '517430', '517431', '685603', '111508', '184400', '76832', '430531', '452986', '797760', '513955', '722552', '512590', '521564', '201182', '407615', '470332', '413193', '744816', '414335', '414337', '816514', '452097', '12696', '1176207', '478393', '546267', '173608', '740231', '797349', '59586', '419181', '186395', '153441', '791769', '461257', '502512', '895850', '670502', '1003', '122', '819303', '849146', '718703', '891981', '398932', '530295', '770762', '6926', '480987', '730097', '509630', '766158', '444341', '434901', '772567', '527912', '409676', '73296', '73297', '457648', '741884', '111238', '1178393', '596961', '787944', '511054', '507889', '445246', '70689', '779816', '740403', '675244', '530002', '486429', '551862', '785711', '1041835', '512657', '681680', '1139040', '1085235', '765362', '491655', '823286', '546225', '447925', '428625', '399130', '846560', '77458', '1131387', '431092', '1043963', '198347', '463814', '527778', '117881', '405210', '219831', '4890', '112711', '515506', '545190', '501814', '769610', '421673', '785270', '695145', '784116', '397401', '502317', '471651', '715670', '504628', '2575', '164581', '867219', '487771', '733385', '111010', '76359', '76722', '195809', '195808', '25545', '765336', '677055', '421176', '579262', '422271', '518089', '544356', '737493', '503474', '668228', '557855', '895867', '745459', '526161', '750860', '741052', '1192913', '1034078', '406401', '454729', '567907', '606753', '407818', '564334', '799003', '402152', '423931', '184321', '507358', '787437', '628316', '436012', '409626', '566797', '676496', '525673', '866006', '577092', '593972', '533802', '622756', '768473', '580803', '504738', '517429', '696257', '495015', '490533', '411869', '564389', '628075', '581621', '196297', '476332', '555450', '743019', '416447', '567636', '489581', '407608', '56312', '112826', '548374', '687638', '496578', '73223', '737429', '453009', '485255', '787192', '458725', '532642', '849149', '416694', '652898', '552790', '581940', '493275', '421217', '490183', '848707', '439257', '822978', '563654', '397437', '173452', '197017', '485731', '709928', '721132', '807983', '674203', '166091', '710933', '602128', '71719', '111043', '495278', '524994', '164059', '537614', '494128', '525640', '508735', '676499', '537000', '394855', '491628', '624771', '453457', '754767', '548392', '465477', '786765', '513461', '673427', '825974', '74420', '722394', '836222', '397156', '739749', '764450', '742620', '658358', '537726', '781510', '660188', '110978', '509515', '710265', '443998', '798109', '504682', '679549', '403871', '30177', '74587', '1041097', '1114136', '499821', '447837', '471798', '1040311', '785025', '543127', '395176', '463802', '201382', '784750', '726667', '539888', '112708', '481389', '550888', '459849', '554891', '765925', '479414', '538492', '586354', '590946', '849198', '424714', '471708', '211706', '405117', '700287', '771147', '741561', '150532', '418749', '111218', '775967', '778707', '487110', '454558', '394130', '446357', '815088', '531332', '195225', '427626', '609824', '737940', '199398', '561245', '591491', '72921', '72920', '77799', '762203', '764700', '205714', '715406', '168060', '499040', '513192', '480391', '761235', '118265', '513210', '454753', '489945', '516455', '504401', '499445', '792968', '478734', '828981', '1200427', '490543', '519164', '440451', '721578', '431066', '111425', '202833', '787591', '157128', '845746', '544612', '799035', '460413', '616365', '588823', '580723', '580901', '657846', '74419', '145120', '411399', '409039', '1145276', '759210', '458734', '399524', '457161', '1111590', '432017', '455863', '396888', '508929', '780865', '392040', '13155', '595197', '538466', '584148', '519538', '500113', '557339', '432083', '502335', '540003', '600397', '503093', '866184', '506274', '777757', '808786', '70572', '692529', '70570', '504477', '550149', '409122', '705673', '769035', '392968', '477844', '5165', '706031', '503414', '481024', '145864', '557090', '590887', '827261', '597808', '111560', '460052', '524661', '473772', '172446', '805595', '770961', '794288', '426192', '583595', '583598', '456322', '792559', '506589', '492033', '201651', '48271', '526475', '173369', '77188', '156522', '716752', '683604', '674625', '580869', '1195793', '758829', '480570', '670715', '214510', '160012', '719729', '591494', '440091', '467505', '196039', '715826', '775153', '755361', '817996', '663953', '503177', '599033', '76990', '849178', '491460', '415735', '424771', '409586', '744750', '74585', '73222', '457699', '476679', '758809', '492092', '187362', '552476', '399366', '2585', '675717', '709545', '468557', '429226', '621801', '583346', '440093', '440092', '147548', '112783', '628979', '686425', '414483', '818803', '474010', '195256', '118448', '781722', '72932', '72933', '443209', '222920', '489332', '684111', '566913', '819261', '1160915', '488826', '556617', '5162', '678523', '696656', '768281', '488066', '620639', '866734', '433804', '466360', '1152624', '485', '200598', '462605', '526436', '112323', '744601', '583899', '505815', '785438', '59426', '417774', '1183105', '521056', '480157'])",set(['110529']),452 U.S. 576,"set(['513 U.S. 64', '463 U.S. 680', '492 U.S. 229', '464 U.S. 16', '503 U.S. 329', '507 U.S. 170', '458 U.S. 279', '460 U.S. 103', '510 U.S. 249', '472 U.S. 675', '473 U.S. 479', '462 U.S. 669', '474 U.S. 438', '500 U.S. 453', '00-549', '498 U.S. 103', '468 U.S. 63', '526 U.S. 1', '491 U.S. 600', '505 U.S. 763', '503 U.S. 258', '534 U.S. 438', '467 U.S. 752', '471 U.S. 419', '489 U.S. 46'])"
395,Wainwright v. Goode,"set(['580900', '431956', '178907', '674309', '576946', '423631', '563714', '756671', '515095', '73124', '477337', '145761', '455865', '449289', '585478', '1199618', '663718', '573955', '773790', '792926', '510160', '515812', '763641', '550152', '475749', '6794', '732725', '532660', '430578', '721968', '579021', '542984', '783333', '198190', '681145', '698660', '757513', '700466', '731807', '111157', '496812', '528108', '217511', '674226', '471016', '659379', '767804', '427538', '556567', '517702', '659663', '454736', '553434', '430956', '578616', '614386', '454730', '661091', '531394', '485289', '528840', '202906', '750664', '73516', '688709', '704529', '546125', '682062', '480625', '502337', '556108', '775574', '588517', '31971', '521019', '159563', '497329', '462086', '590890', '734833', '740985', '112400', '783386', '770152', '712558', '433858', '519569', '496744', '671783', '515468', '805872', '723988', '746780', '601462', '474869', '431686', '725252', '449741', '73125', '797369', '599380', '659157', '716363', '581223', '569942', '527099', '111048', '519745', '428618', '454521', '457946', '721467', '544074', '532630', '777496', '159708', '549765', '523904', '1697', '609265', '201502', '488638', '797940', '567432', '772070', '667870', '501759', '519617', '729638', '112524', '1102232', '561384', '1132189', '517296', '447633', '556684', '429705', '507826', '597201', '528086', '741088', '117875', '1004534', '579641', '583416', '523974', '677881'])",set(['111048']),464 U.S. 78,"set(['494 U.S. 738', '464 U.S. 78', '466 U.S. 380', '498 U.S. 308', '127 S. Ct. 856', '512 U.S. 967'])"
396,"New Orleans Public Service, Inc. v. Council of City of New Orleans","set(['194735', '14855', '620986', '802238', '687338', '1188787', '171635', '217471', '806918', '6089', '718336', '676503', '529299', '855085', '657327', '214727', '654614', '656574', '174200', '788576', '758795', '1192077', '187486', '546904', '777640', '762150', '584173', '583018', '28433', '607613', '700470', '14858', '710293', '769630', '705114', '567265', '709023', '187427', '701190', '529735', '196430', '1023578', '801182', '801183', '201634', '584149', '701959', '146589', '779501', '788461', '75021', '203908', '76662', '752883', '704035', '678229', '685154', '787571', '740249', '571111', '775436', '563277', '211660', '705100', '791555', '692353', '718595', '771430', '1193918', '155407', '656619', '701351', '556472', '149851', '76190', '587601', '17701', '23307', '765104', '181058', '561351', '118158', '575477', '201446', '754799', '602345', '665992', '773558', '678560', '1026291', '779194', '1139274', '1015907', '186293', '807837', '776576', '746960', '695225', '179795', '775318', '74344', '629136', '755152', '790125', '768238', '760488', '557191', '597897', '554905', '11690', '687280', '821002', '757325', '76729', '678240', '613553', '787254', '581905', '681307', '791736', '1027125', '773904', '658143', '74345', '2450', '215922', '692577', '11341', '6803', '7715', '714065', '728114', '175540', '537051', '797247', '553213', '665838', '785036', '1033949', '591411', '780512', '668227', '689163', '583615', '688773', '778910', '581398', '722549', '1139298', '589673', '183689', '153838', '703995', '559074', '147494', '678506', '174955', '621257', '585216', '779013', '584280', '782328', '772582', '626209', '194981', '760156', '187521', '1191664', '200962', '597439', '1189013', '569127', '667520', '774842', '196690', '605524', '775275', '698403', '68566', '4833', '676715', '69524', '201163', '686491', '23000', '78286', '620418', '751616', '118031', '626206', '7281', '1038495', '663726', '801152', '186655', '531024', '20797', '614584', '788088', '677437', '555828', '739706', '711154', '658250', '198224', '777875', '1034185', '181918', '546097', '792071', '775266', '167174', '681309', '547510', '619940', '5455', '665327', '714087', '755837', '528245', '778781', '789062', '777066', '768373', '745327', '20147', '591180', '112752', '746928', '204078', '194576', '720602', '1026084', '769247', '802347', '782220', '554031', '627351', '787597', '551887', '1011391', '756701', '569107', '158421', '560351', '1025180', '1033937', '537034', '149669'])",set(['112302']),491 U.S. 350,"set(['517 U.S. 706', '522 U.S. 156', '504 U.S. 689'])"
397,"Heffron v. International Soc. for Krishna Consciousness, Inc.","set(['475216', '431655', '530278', '1161688', '780974', '576766', '443935', '748809', '544620', '148685', '524611', '413446', '712979', '408054', '790393', '518836', '778597', '474181', '25922', '793998', '535231', '73009', '414504', '406183', '774212', '196860', '483879', '112356', '499736', '117869', '893399', '447985', '111256', '675137', '627433', '469389', '112348', '168857', '664656', '454758', '72888', '788193', '613771', '423585', '77366', '72887', '420717', '1175747', '619858', '203907', '1041974', '112103', '155257', '788975', '75626', '417981', '73719', '596392', '755567', '511844', '414083', '591208', '42971', '203694', '579474', '590005', '603917', '406430', '514044', '153417', '555774', '508969', '783161', '622716', '835641', '490573', '455797', '562087', '774645', '606723', '474510', '419931', '403557', '710262', '789028', '451697', '679546', '804293', '572692', '530283', '757585', '512975', '22208', '409036', '472617', '435077', '217506', '151612', '409248', '112486', '203074', '476650', '112315', '783713', '459877', '575835', '73008', '1008419', '523174', '525551', '7700', '185666', '779875', '614658', '474279', '112767', '747669', '474909', '718699', '1113693', '148197', '111245', '446772', '586857', '770308', '76423', '536195', '419596', '454702', '1190916', '1204598', '437533', '574960', '147908', '566460', '73696', '73697', '466144', '552467', '771025', '531400', '898024', '441646', '453530', '756637', '73720', '746762', '796737', '898026', '110561', '568037', '569339', '657360', '110918', '474013', '112346', '548449', '782488', '112736', '797671', '202703', '152445', '554057', '793011', '756497', '78253', '22495', '563745', '786725', '767730', '1179639', '612098', '772102', '583656', '219205', '214591', '440441', '415224', '785515', '457053', '442867', '657358', '727269', '111175', '714867', '762125', '175010', '597428', '539926', '524308', '782018', '69762', '112781', '705904', '669086', '436087', '44538', '111255', '475513', '519586', '504736', '71050', '117966', '111597', '111596', '77311', '400911', '774607', '111517', '766718', '1198248', '498772', '483564', '599259', '213598', '420984', '541953', '517624', '789304', '424862', '66452', '110587', '480763', '151679', '722484', '765706', '581546', '524346', '613801', '429180', '472635', '195018', '118385', '566688', '118446', '757258', '406441', '786861', '452976', '183875', '777530', '547587', '181261', '790471', '701260', '559531', '199554', '852099', '471855', '499059', '155604', '576207', '687322', '779937', '878234', '795778', '462604', '440095', '402424', '1157297', '656566', '789272', '1040462', '787193', '794639', '498687', '486590', '1205098', '186521', '746407', '441810', '416443', '739945', '409655', '775510', '499806', '602426'])",set(['110532']),452 U.S. 640,"set(['453 U.S. 490', '466 U.S. 789', '505 U.S. 672', '515 U.S. 753', '533 U.S. 98', '530 U.S. 703', '454 U.S. 263', '512 U.S. 622', '475 U.S. 1', '468 U.S. 288', '493 U.S. 182', '497 U.S. 720', '493 U.S. 215', '504 U.S. 191', '461 U.S. 171', '491 U.S. 781', '468 U.S. 609', '468 U.S. 641', '473 U.S. 788', '493 U.S. 411', '475 U.S. 41', '505 U.S. 123', '486 U.S. 750'])"
398,"John A. Hutter Et Ux. v. Bernard J. Korzen, Etc",set(['']),set(['108669']),409 U.S. 905,set([])
399,"Faconti v. Potter, Postmaster General","set(['', '149119'])","set(['136831', '136830', '136833', '136832', '136826', '136827', '136837', '136836', '136839', '136838', '136828', '136829', '136841', '136840', '136835', '136834'])",541 U.S. 1083,set([])
